Year,Month,OIL_P,OIL_PROD,OIL_STOCKS,WORLD_IP,US_IP,US_CPI,Surprises
1974,1,307.2812016,1092.366972,627.7492219,378.7043512,385.2449206,384.5883203,0.0000
1974,2,306.2184924,1093.208859,631.5713562,378.2536222,384.9368575,385.6510295,0.0000
1974,3,305.166958,1093.978108,631.2600973,378.1894047,384.9579355,386.7025639,0.0000
1974,4,304.5413042,1095.273451,634.3548746,378.2153016,384.6524023,387.3282177,0.0000
1974,5,303.5071688,1095.568934,637.8878119,378.7092915,385.4071807,388.3623531,0.0000
1974,6,302.6874921,1094.831221,639.5161103,378.4146224,385.2892766,389.1820298,0.0000
1974,7,302.0771138,1092.890171,641.383151,377.4916085,385.3344613,389.7924081,0.0000
1974,8,300.8674216,1090.231634,642.2678104,377.3438639,384.3491456,391.0021003,0.0000
1974,9,299.4743643,1091.219337,642.3169842,376.1821318,384.4088859,392.3951576,0.0000
1974,10,308.568051,1091.53248,641.3298369,375.1447363,384.0226207,393.1825633,0.0000
1974,11,307.5924335,1091.668719,641.291866,373.2001681,380.6800258,394.1581808,0.0000
1974,12,306.8187353,1090.77159,641.7826689,370.2830682,377.0929377,394.931879,0.0000
1975,1,306.0509772,1086.704348,642.5779151,369.070878,375.7112704,395.6996371,0.0000
1975,2,305.4790023,1084.754908,645.5352552,368.0367833,373.3616176,396.271612,0.0000
1975,3,305.0994952,1084.595273,644.6077773,367.2486572,372.2947492,396.6511191,0.0000
1975,4,304.7214229,1083.852153,643.8371609,367.2888274,372.3903875,397.0291914,0.0000
1975,5,304.5329215,1084.312365,642.4855803,366.6329095,372.1651535,397.2176928,0.0000
1975,6,303.7824489,1086.809214,642.3635084,367.4156349,372.8201124,397.9681654,0.0000
1975,7,302.8522096,1089.40691,639.554093,367.5278884,373.772914,398.8984047,0.0000
1975,8,302.4825234,1091.539751,639.1094342,367.9652769,374.8152575,399.2680908,0.0000
1975,9,301.747226,1094.625233,639.4908018,368.9321856,376.0520815,400.0033883,0.0000
1975,10,301.1992794,1084.717942,641.2902445,369.9384334,376.4939627,400.5513349,0.0000
1975,11,300.4733234,1088.166329,641.1667386,370.4241107,376.7138264,401.2772909,0.0000
1975,12,299.9322942,1089.518256,644.0930641,371.1848387,377.9505955,401.8183201,0.0000
1976,1,299.5732274,1088.055348,649.2049741,372.3015387,379.3935173,402.1773869,0.0000
1976,2,306.9009336,1090.714793,645.8569314,373.3856883,380.3644607,402.356438,0.0000
